famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN39	4.98950491978922	0.0453957625238277	1125	4.90043503348422	5.07857480609421	 A    
WGN63	5.01553813051461	0.0468588435046079	1125	4.92359756973764	5.10747869129159	 A    
WGN15	5.09928952042633	0.0450489881597194	1125	5.01090003139781	5.18767900945485	 A    
WGN55	5.18042515999896	0.0455707946898333	1125	5.091011847474	5.26983847252392	 A    
WGN26	5.78861788617893	0.0477379123603721	1125	5.69495252646293	5.88228324589492	  B   
WGN45	5.80177470633022	0.048065608958917	1125	5.70746638134275	5.89608303131769	  B   
WGN36	6.04942732896442	0.0494993114734402	1125	5.95230597225627	6.14654868567256	   C  
WGN38	6.18507454653103	0.0514279434376658	1125	6.08416906945069	6.28598002361137	   CD 
WGN07	6.28952770579167	0.046522112939444	1125	6.19824783560534	6.380807575978	    D 
WGN46	7.28789585409186	0.0465024997244838	1125	7.19665446650235	7.37913724168137	     E
