germplasm_id,female_parent,male_parent,founder
WG116417,C3_3244,UMN_C1_Unknown,WGN45
WG116201,C3_2629,UMN_C1_Unknown,WGN45
UMN_C1_Unknown,0,0,WGN45
BFC2,0,0,WGN36
BFC1,0,0,WGN36
C1select50,0,0,WGN36
C1supselect5,0,0,WGN36
C2Naked4,0,0,WGN36
FC_Large_Intermate,0,0,WGN36
C1_120,BFC1,BFC1,WGN36
C1_174,BFC2,BFC2,WGN36
C2_3905,C1_174,C1select50,WGN36
C2_673,C1_120,C1supselect5,WGN36
C3_3471,C2_3905,C2Naked4,WGN36
W113_4,C2_673,FC_Large_Intermate,WGN36
WGN36,WG117928,WG112926,WGN36
WG117928,C3_3471,UMN_C1_Unknown,WGN36
WG112926,W113_4,UMN_C1_Unknown,WGN36
UMN_C1_Unknown,0,0,WGN36
BFC2,0,0,WGN38
BFC1,0,0,WGN38
C1select50,0,0,WGN38
C1supselect5,0,0,WGN38
C2Naked4,0,0,WGN38
FC_Large_Intermate,0,0,WGN38
C1_120,BFC1,BFC1,WGN38
C1_174,BFC2,BFC2,WGN38
C2_3905,C1_174,C1select50,WGN38
C2_673,C1_120,C1supselect5,WGN38
C3_3471,C2_3905,C2Naked4,WGN38
W113_4,C2_673,FC_Large_Intermate,WGN38
WGN38,WG117928,WG112926,WGN38
WG117928,C3_3471,UMN_C1_Unknown,WGN38
WG112926,W113_4,UMN_C1_Unknown,WGN38
UMN_C1_Unknown,0,0,WGN38
